date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:02	239039/239039	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2018:12:10%20GMT	https://bio.link/wojtoteka	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/wojtoteka.html	(from )
21:04:03	24/24	---M--	200	added ('OK')	text/plain	etag:%2260a5e664-18%22	https://bio.link/robots.txt		(from )
21:04:03	280659/280659	---M--	200	added ('OK')	image/gif	etag:%227e4ecb88b1c4ba65e2ee49acf77c0a16%22	https://cdn.bio.link/uploads/profile_pictures/2024-07-09/Op72QgNtiQxF0ZNE340f8d63e4c7ad3c.gif	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/uploads/profile_pictures/2024-07-09/Op72QgNtiQxF0ZNE340f8d63e4c7ad3c.gif	(from https://bio.link/wojtoteka)
21:04:03	263/263	---MCZ	200	added ('OK')	application/json	etag:W/%2260c8c51e-107%22	https://bio.link/manifest.json	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/manifest.json	(from https://bio.link/wojtoteka)
21:04:04	70857/70857	---M--	200	added ('OK')	image/png	etag:%2264143954-114c9%22	https://bio.link/images/flags.png?007b2705c0a8f69dfdf6ea1bfa0341c9	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/images/flags11db.png	(from https://bio.link/wojtoteka)
21:04:04	174369/174369	---M--	200	added ('OK')	image/png	etag:%2264143954-2a921%22	https://bio.link/images/flags@2x.png?9d5328fb490cddd43f6698012123404b	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/images/flags@2x00a3.png	(from https://bio.link/wojtoteka)
21:04:04	4683/4683	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2019:04:06%20GMT	https://bio.link/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/cdn-cgi/l/email-protection.html	(from https://bio.link/wojtoteka)
21:04:04	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266d1d6c0-4d7%22	https://bio.link/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://bio.link/wojtoteka)
21:04:05	361/361	---M-Z	200	added ('OK')	application/javascript	etag:%2282bfd941d2c9b3b9e0650a27c9d11737%22	http://assets.pinterest.com/js/pinit.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/assets.pinterest.com/js/pinit.js	(from https://bio.link/wojtoteka)
21:04:05	100546/100546	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2016:49:01%20GMT	https://bio.link/	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/index.html	(from https://bio.link/wojtoteka)
21:04:05	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:07%20GMT	https://bio.link/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://bio.link/wojtoteka)
21:04:05	7975/7975	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Sep%202024%2019:04:08%20GMT	https://bio.link/cdn-cgi/challenge-platform/h/b/scripts/jsd/a5b175b00260/main.js?	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/cdn-cgi/challenge-platform/h/b/scripts/jsd/a5b175b00260/maind41d.js	(from https://bio.link/wojtoteka)
21:04:06	1386/1386	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Sep%202024%2019:04:08%20GMT	https://plausible.io/js/plausible.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/plausible.io/js/plausible.js	(from https://bio.link/wojtoteka)
21:04:06	228827/228827	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2019:04:08%20GMT	https://bio.link/GET	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/GET.html	(from https://bio.link/wojtoteka)
21:04:06	30/30	---MC-	401	error ('Unauthorized')	application/json	date:Wed,%2004%20Sep%202024%2019:04:09%20GMT	https://bio.link/api/pages/	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/api/pages/index.html	(from https://bio.link/wojtoteka)
